Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Masjkur, Mohammad; Sartono, Bagus; Sulvianti, Itasia Dina; ",MODEL STATISTIKA PENENTUAN BATAS KRITIS HARA FOSFOR,,,,,,
"Alfarizy, AD; Sartono, B; ",Clustering box office movie with Partition Around Medoids (PAM) Algorithm based on Text Mining of Indonesian subtitle,IOP Conference Series: Earth and Environmental Science,58,1,012032,2017,IOP Publishing
"Rahardiantoro, S; Sartono, B; Kurnia, A; ",Model Averaging for Predicting the Exposure to Aflatoxin B1 Using DNA Methylation in White Blood Cells of Infants,IOP Conference Series: Earth and Environmental Science,58,1,012019,2017,IOP Publishing
"Dini, Sekti Kartika; Aidi, Muhammad Nur; Sartono, Bagus; ",Social Network Analysis of Hadith Narrator (Case Study: Shahih Hadith of Imam Bukhari from Software Ensiklopedi Hadits Kitab 9 Imam),,,,,,
"Mattjik, AA; Sumertajaya, M; Wijayanto, H; Indahwati, A Kurnia; Sartono, B; ",Modul Teori Pelatihan Analisis Multivariat,Departemen Statistika FMIPA IPB. Bogor,,,,2004,
"Nindahayati, Yesi; Wijayanto, Hari; Sartono, Bagus; ",BUILDING A MODEL TO PREDICT SCHOOL ACCREDITATION RANK USING BOOSTED CLASSIFICATION TREE,"Proceeding of International Conference On Research, Implementation And Education Of Mathematics And Sciences 2015 (ICRIEMS 2015), Yogyakarta State University, 17-19 May 2015",,,,2015,Faculty of Mathematics and Sciences Yogyakarta State University
"Salaki, Deiby T; Kurnia, Anang; Sartono, Bagus; ",Model Averaging Method for Supersaturated Experimental Design,IOP Conference Series: Earth and Environmental Science,31,1,012016,2016,IOP Publishing
"Sartono, Bagus; ",Tinjauan Terhadap Keunggulan Pohon Klasifikasi Ensemble untuk Memperbaiki Kemampuan Prediksi Pohon Klasifikasi Tunggal,Biastatistika,9,2,33-38,2016,
"Sartono, Bagus; Setyo, Wahyudi; ",TINJAUAN EMPIRIK TERHADAP DUGAAN GALAT BAKU NILAI TENGAH YANG DIHASILKAN PROC SURVEYMEANS,Forum Statistika dan Komputasi,11,1,,2012,
"Sartono, Bagus; Goos, Peter; Schoen, Eric; ",Constructing general orthogonal fractional factorial split-plot designs,Technometrics,57,4,488-502,2015,Taylor & Francis
"Sartono, Bagus; ",KLASIFIKASI RANCANGAN FAKTORIAL PECAHAN JENUH TIGA TARAF DALAM 27 RUN,Forum Statistika dan Komputasi,13,1,,2012,
"Adiangga, Dimas; Wijayanto, Hari; Sartono, Bagus; ",MULTIVARIATE ADAPTIVE REGRESSION SPLINE (MARS) FOR MODELLING OF CHILD LABOR IN JAKARTA,"Proceeding of International Conference On Research, Implementation And Education Of Mathematics And Sciences 2015 (ICRIEMS 2015), Yogyakarta State University, 17-19 May 2015",,,,2015,Faculty of Mathematics and Sciences Yogyakarta State University
"Salaki, Deiby T; Kurnia, Anang; Gusnanto, Arief; Mangku, I Wayan; Sartono, Bagus; ","MODEL AVERAGING, AN ALTERNATIVE APPROACH TO MODEL SELECTION IN HIGH DIMENSIONAL DATA ESTIMATION",FORUM STATISTIKA DAN KOMPUTASI,20,2,,2015,
"Kurniawan, Iwan; Kurnia, Anang; Sartono, Bagus; ",SURVIVAL ANALYSIS WITH EXTENDED COX MODEL ABOUT DURABILITY DEBTOR EFFORTS ON CREDIT RISK,Forum Statistika dan Komputasi,20,2,,2015,
"Indrayana, Bayu; Seminar, Kudang Boro; Sartono, Bagus; ",FAKTOR PENENTU MINAT PENGGUNAAN INSTAGRAM UNTUK PEMBELIAN ONLINE MENGGUNAKAN TECHNOLOGY ACCEPTANCE MODEL (TAM) DAN THEORY OF PLANNED BEHAVIOR (TPB),Jurnal Aplikasi Bisnis dan Manajemen (JABM),2,2,138,2016,
"Sumarni, C; Sadik, K; Notodiputro, KA; Sartono, B; ",Robustness of location estimators under t-distributions: a literature review,IOP Conference Series: Earth and Environmental Science,58,1,012015,2017,IOP Publishing
"Sartono, Bagus; ",Pengenalan Algoritma Genetik Untuk Pemilihan Peubah Penjelas Dalam Model Regresi Menggunakan SAS/IML,Forum Statistika dan Komputasi,15,2,,2012,
"Rafita, Yuni; Sartono, Bagus; Susetyo, Budi; ",Identification of Traffic Accident Blackspot in Bogor City and Scoring Model for Roads Segment,International Journal of Engineering and Management Research (IJEMR),6,3,593-597,2016,Vandana Publications
"Susanto, Andi; Daryanto, Arief; Sartono, Bagus; ",Pemilihan Strategi Peningkatan Daya Saing Industri Tekstil dan Produk Tekstil dengan Pendekatan Anp-bocr,Arena Tekstil,32,1,,2017,
"Schoen, Eric D; Sartono, Bagus; Goos, Peter; ",Optimal blocking for general resolution-3 designs,Journal of Quality Technology,45,2,166,2013,American Society for Quality
"Sartono, Bagus; Wigena, Aji Hamim; ",Analisis Hubungan Dan Prediksi Indeks Harga Saham Gabungan Dengan Faktor Makroekonomi Melalui Pendekatan Copula,,,,,2016,Bogor Agricultural University (IPB)
"Sartono, Bagus; Affendi, FM; Syafitri, UD; Sumertajaya, IM; Angraeni, Y; ",Modul Teori Analisis Peubah Ganda,"Departemen Statistika, Fakultas Matematika dan Ilmu Pengetahuan Alam, Institut Pertanian Bogor. Bogor. vi",,,,2003,
"Utami Dyah, Syafitri; Bagus, Sartono; Salamatuttanzil, Salamatuttanzil; ",Pengujian Autokorelasi terhadap Sisaan Model Spatial Logistik,PROSIDING SEMINAR NASIONAL MATEMATIKA DAN PENDIDIKAN MATEMATIKA,,,,2008,Jurusan Pendidikan Matematika Fakultas Matematika dan Ilmu Pengetahuan Alam Universitas Negeri Yogyakarta
"Sartono, B; Rahardiantoro, S; Suhaeni, C; Irianto, EA; Maulidya, U; ",Segmentation of Sharia Rural Banks based on Growth of the Business Performance,IOP Conference Series: Earth and Environmental Science,58,1,012005,2017,IOP Publishing
"Lena, Warnida; Sumertajaya, I Made; Sartono, Bagus; ",THE METHODS OF VERTEX DISCRIMINANT MULTICATEGORY ANALYSIS WITH BOOTSTRAP APPLICATION,"Proceeding of International Conference On Research, Implementation And Education Of Mathematics And Sciences 2015 (ICRIEMS 2015), Yogyakarta State University, 17-19 May 2015",,,,2015,Faculty of Mathematics and Sciences Yogyakarta State University
"Sartono, Bagus; Wigena, Aji Hamim; ",Indonesia Stock Exchange Composite Modelling With Gaussian Copula Marginal Regression,International Journal of Engineering and Management Research (IJEMR),6,4,311-314,2016,Vandana Publications
"Sumertajaya, I; Sartono, Bagus; ",Perbandingan Metode Klasifikasi Antara Analisis Diskriminan Verteks Dan Diskriminan Fisher.,,,,,2015,Bogor Agricultural University (IPB)
"Dharmawan, Mohammad A; Priyarsono, Dominicus S; Sartono, Bagus; ",Impacts of Oil Price Shock on Sector Returns with Regime-Switching Approach: New Evidence from Indonesian Stock Market,International Journal of Energy Economics and Policy,7,5,44-59,2017,
"Syafitri, Utami Dyah; Wijayanto, Hari; Kurniawati, Yuni Suci; ",KONSISTENSI RESPONDEN DALAM MENGEVALUASI PROFIL PRODUK PADA ANALISIS KONJOIN,FORUM STATISTIKA DAN KOMPUTASI,12,2,,2012,
"Sukmawati, Anggraini; Syafitri, Utami Dyah; ",Analisis Kesenjangan Pengetahuan (Knowledge GAP) Antara Karyawan dan Manajer Koperasi Peternak Sapi Bandung Utara (KPSBU).,,,,,2010,
"Syafitri, Utami Dyah; Kurniasari, Dwi Putri; ",Simulasi Pengaruh Data Berkorelasi Menggunakan Pendekatan Bayes Dengan Noninformative Prior,FORUM STATISTIKA DAN KOMPUTASI,9,2,,2012,
"Warawati, Astuti Dewi; Susetyo, Budi; Syafitri, Utami Dyah; ",Variable Selection on Sensus Pertanian 2013 to Determine Relevant Variable on Agricultural GRDP 2013 using Partial Least Square Regression,Proceeding of ICMSE,3,1,28-33,2017,
"Khalil, Munawar; Darusman, Latifah K; Syafitri, Utami D; ",Application of fractional factorial design to optimize extraction method of artemisinin from Artemisia annua,ScienceAsia,37,3,219-224,2011,
"Goos, Peter; Jones, Bradley; Syafitri, Utami; ",I-optimal design of mixture experiments,Journal of the American Statistical Association,111,514,899-911,2016,Taylor & Francis
"Rafi, Mohamad; Purwakusumah, Edy Djauhari; Syafitri, Utami Dyah; Nurcholis, Waras; Darusman, Latifah K; ",Spektroskopi Ftir Dan Pengenalan Pola Kimia Untuk Identifikasi Cepat Asal Geografis Seledri (Apium graveolens),,,,,2009,UNIBPRESS
"Andanawari, Aden Ginanjar; Sumertajaya, I; Syafitri, Utami Dyah; ",Faktor-faktor yang mempengaruhi minat siswa melanjutkan pendidikan ke perguruan tinggi dengan menggunakan Regresi Logistik (Studi Kasus: minat siswa SMU/sederajat di Kab. Garut terhadap STAI Al-Musaddadiyah),,,,,2010,IPB (Bogor Agricultural University)
"Syafitri, Utami Dyah; ",Optimal Design of Mixture Experiments,,,,,2015,Universiteit Antwerpen (Belgium)
"Rohaeti, Eti; Rafi, Mohamad; Syafitri, Utami Dyah; Heryanto, Rudi; ","Fourier transform infrared spectroscopy combined with chemometrics for discrimination of Curcuma longa, Curcuma xanthorrhiza and Zingiber cassumunar",Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,137,,1244-1249,2015,Elsevier
"Sartika, Wimi; Susetyo, Budi; Syafitri, Utami Dyah; ",Spatial panel data models of aquaculture production in West Sumatra province with random-effects,AIP Conference Proceedings,1827,1,020008,2017,AIP Publishing
"Susetyo, Budi; Syafitri, Utami Dyah; ",Determining Optimum Strata Boundary Points on Stratified Random Sampling using Dynamic Programming (Case: Expenditure per Capita of East Java Province Year 2008),,,,,2011,
"Pertiwi, Eka Dewi; Syafitri, Utami Dyah; Angraini, Yenni; ",PREFERENSI MAHASISWA IPB TERHADAP MATA KULIAH METODE STATISTIKA MENGGUNAKAN ANALISIS KONJOIN,Forum Statistika dan Komputasi,16,1,,2011,
"Wigena, Aji Hamim; Syafitri, Utami Dyah; Millafanti, Yuan; ",Penentuan domain dengan teknik variogram,FORUM STATISTIKA DAN KOMPUTASI,12,2,,2012,
"Khikmah, L; Wijayanto, H; Syafitri, UD; ",Modeling Governance KB with CATPCA to Overcome Multicollinearity in the Logistic Regression,Journal of Physics: Conference Series,824,1,012027,2017,IOP Publishing
"Syafitri, Utami Dyah; ",Optimal Design of Mixture Experiments: Proefschrift,,,,,2015,
"Wijayanto, Hari; Syafitri, Utami Dyah; Wahyuningsih, Sri; ",Persepsi Masyarakat Mengenai Kriteria Calon Presiden 2004-2009 (Studi Kasus: Daerah Pemilihan Kota Bogor),FORUM STATISTIKA DAN KOMPUTASI,9,2,,2012,
"Kurnia, Anang; Syafitri, Utami Dyah; Ruspayandi, Topan; ",PENDEKATAN STATISTIKA UNTUK PEMETAAN KEMISKINAN DI PROPINSI JAWA BARAT,Forum Statistika dan Komputasi,11,2,,2006,
"Goos, Peter; Syafitri, Utami; ",V-optimal mixture designs for the qth degree model,Chemometrics and Intelligent Laboratory Systems,136,,173-178,2014,Elsevier
"Chandra, Leily Purnama; Sukmawati, Anggraini; Syafitri, Utami Dyah; ","Analisis kesenjangan pengetahuan (knowledge GAP) karyawan PT Aneka Tambang Tbk, unit Geomin",,,,,2011,IPB (Bogor Agricultural University)
"Sari, Yessie W; Syafitri, Utami; Sanders, Johan PM; Bruins, Marieke E; ",How biomass composition determines protein extractability,Industrial Crops and Products,70,,125-133,2015,Elsevier
"Goos, Peter; Jones, Bradley; Syafitri, Utami; ",I-optimal mixture designs,,,,,2013,
"Sihombing, Bartho; Syafitri, Utami Dyah; ",Jaringan Syaraf Tiruan dan Algoritma Genetika dalam Pemodelan Kalibrasi (Studi Kasus: Tanaman Obat Temulawak),Forum Statistika dan Komputasi,16,1,,2011,
"Notodiputro, Khairil Anwar; Kurnia, Anang; ",Kajian Penggerombolan Area Melalui Analisis Faktor Dalam Pendugaan Area Kecil (Analisis Pengeluaran Per Kapita Kecamatan Di Bogor).,,,,,2016,Bogor Agricultural University (IPB)
"Suhartini, Titin; Sadik, Kusman; Indahwati; ",Small area estimation (SAE) model: Case study of poverty in West Java Province,AIP Conference Proceedings,1707,1,080016,2016,AIP Publishing
"Sadik, Kusman; Kusumaningrum, Dian; ",Kajian Overdispersi pada Regresi Poisson Berdasarkan Model Generalized Poisson,,,,,2014,
"Kurnia, Agus; Asnani, Wellem H Muskita; Harahap, Wulandari; ","Penggantian Total dan Sebagian Tepung Ikan dengan tepung Cangkang Kepiting dalam Pakan terhadap Pertumbuhan dan Kelulushidupan Larva Udang Windu, Penaeus monodon",,,,,,
"Dahlan, Jon; Hamzah, Muhaimin; Kurnia, Agus; ",Pertumbuhan Udang Vaname (Litopenaeus vannamei) yang Dikultur pada Sistem Bioflok dengan Penambahan Probiotik The Growth of Vaname white shrimp (Litopenaeus vannamei) cultured in bioflock system probiotic Supplement,Jurnal Sains dan Inovasi Perikanan/Journal of Fishery and Innovation (JSIPi),1,1,,2017,
"Ambarsih, Happy Utami; Kurnia, Alifia; Andriyanto, Dwi Nugroho; Prastiwi, Kiki Dyah; Yusman, Meritania; ","Meningkatkan Kemampuan Berpikir Kritis Siswa pada Materi Gaya Gesek Melalui Model Pembelajaran CORE (Connecting, Organizing, Reflecting, and Extending)",Seminar Nasional Quantum 2016,,,,2017,
"Setyawan, Antonius Benny; Notodiputro, Khairil Anwar; ",COMPARISON OF LOW BIRTH WEIGHT RATE ESTIMATES BASED ON DIFFERENT AGGREGATE LEVELS DATA USING LOGISTIC REGRESSION MODEL,Forum Statistika dan Komputasi,20,2,,2015,
"Kurnia, Anang; Sadik, Kusman; ",Studi Penentuan Matriks Pembobot Spasial Optimum Dalam Pendugaan Area Kecil,,,,,2016,Bogor Agricultral University (IPB)
"Sadik, Kusman; ",Metode Prediksi Tak-Bias Linear Terbaik dan Bayes Berhirarki untuk Pendugaan Area Kecil Berdasarkan Model State Space [disertasi],,,,,2009,IPB (Bogor Agricultural University)
"Kurnia, Anih; ",HUBUNGAN PENGETAHUAN DAN SIKAP DENGAN PERILAKU HIDUP BERSIH SEHAT DI KELURAHAN SETIAJAYA KECAMATAN CIBEUREUM KOTA TASIKMALAYA TAHUN 2013,Jurnal Kesehatan Bakti Tunas Husada,11,1,30-36,2015,
"Notodiputro, Khairil A; Kurnia, Anang; ",PENDEKATAN GENERAL LINEAR MIXED MODEL PADA SMALL AREA ESTIMATION,FORUM STATISTIKA DAN KOMPUTASI,10,2,,2005,
"Kurnia, Anang; Notodiputro, Khairil A; ","EB-EBLUP MSE ESTIMATOR ON SMALL AREA ESTIMATION WITH APPLICATION TO BPS DATA1, 2",,,,,2006,
"Muchlisoh, Siti; Kurnia, Anang; Notodiputro, Khairil Anwar; Mangku, I Wayan; ",ESTIMATION OF UNEMPLOYMENT RATE USING SMALL AREA ESTIMATION MODEL BASED ON A ROTATING PANEL NATIONAL LABOR FORCE SURVEY,Forum Statistika dan Komputasi,20,2,,2015,
"Agustina, Din Nurika; Kurnia, Anang; Djuraidah, Anik; ",PROFILE ANALYSIS OF UNMET NEED FOR FAMILY PLANNING INDICATORS USING SDKI AND SUSENAS DATA.,"Proceeding of International Conference On Research, Implementation And Education Of Mathematics And Sciences 2015 (ICRIEMS 2015), Yogyakarta State University, 17-19 May 2015",,,,2015,Faculty of Mathematics and Sciences Yogyakarta State University
"Agustini, H; Kurnia, Anang; Buono, Agus; ",PENGEMBANGAN MODEL RANTAI MARKOV UNTUK MENGUJI KETERDUGAAN PADA BARISAN ABJAD,,,,,2014,
"Kurnia, Agus; ","Studies on availability of astaxanthin derived from marine bacteria, Paracoccus sp. for coloration of red sea bream, Pagrus major and rainbow trout, Oncorhynchus mykiss",,,,,2007,東京海洋大学
"Sadik, Kusman; ",CRUISE sebagai metode berstruktur pohon (Tree-Structured) pada data non-biner,,,,,2008,
"Kurnia, Asti; Suwarno, SH; ",Pengaruh Minat Dan Bakat Menggambar Terhadap Hasil Gambaran Siswa Kelas V Sd Muhammadiyah 24 Gajahan Tahun Ajaran 2015/2016,,,,,2016,Universitas Muhammadiyah Surakarta
"Kurnia, Agus; ",IMPLEMENTASI METODE AL-HIDAYAH DALAM PEMBELAJARAN BACA TULIS AL-QUR’AN,Jurnal Pemikiran dan Penelitian Pendidikan E ISSN,2503,,4510,2017,
"Zulvia, Pepi; Kurnia, Anang; Soleh, Agus M; ",Multilevel modeling and panel data analysis in educational research (Case study: National examination data senior high school in West Java),AIP Conference Proceedings,1827,1,020004,2017,AIP Publishing
"Kurnia, ANANG; ",An empirical best prediction method for logarithmic transformation model in small area estimation with particular application to susenas data,"Dr. Dissertation, Bogor Agriculture University",,,,2009,
"Sadik, Kusman; Notodiputro, Khairil Anwar; ",Hierarchical Bayes Estimation Using Time Series and Cross-sectional Data: A Case of Per-capita Expenditure in Indonesia,Conference of Small Area Estimation,29,,,2009,
"Hanna, W; Kurnia, Akhadiah; ",PENGARUH KARAKTERISTIK BUDAYA ORGANISASI TERHADAP KINERJA KARYAWAN PG. REJO AGUNG BARU MADIUN,,,,,2007,University of Muhammadiyah Malang
"Susianto, Yuni; Notodiputro, Khairil A; Kurnia, Anang; Wijayanto, Hari; ",Small Area Estimation Models with Time Factor Effects for Repeated Measurement Data,Applied Mathematical Sciences,11,41,1995-2010,2017,
"Alfian, F; Nusyirwan, Nusyirwan; Khairil Anwar, Notodiputro; ",Penduga Maksimum Likelihood untuk Parameter Dispersi Model Poisson-Gamma dalam Konteks Pendugaan Area Kecil,PROSIDING SEMINAR NASIONAL MATEMATIKA DAN PENDIDIKAN MATEMATIKA,,,,2008,Jurusan Pendidikan Matematika Fakultas Matematika dan Ilmu Pengetahuan Alam Universitas Negeri Yogyakarta
"Kurnia, Anna; ",PROFIL MOTIVASI BELAJAR SISWA: Penelitian Deskriptif pada Salah Satu Rintisan Sekolah Bertaraf Internasional Swasta Kelas XI di Bandung Tahun Ajaran 2012/2013,,,,,2012,Universitas Pendidikan Indonesia
